,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,01ausmei.mid,76,3,0,67,0,1.0,1,3.0,0,43,0,7,0,0,0
1,01ausmei.mid,76,3,0,67,0,2.0,2,1.0,0,55,0,7,0,0,0
2,01ausmei.mid,76,3,0,74,7,1.0,2,3.0,0,62,0,7,0,7,7
3,01ausmei.mid,76,3,0,71,-3,1.5,3,1.0,0,55,4,7,0,4,0
4,01ausmei.mid,76,3,0,69,-2,0.5,3,2.5,0,50,7,7,0,2,7
5,01ausmei.mid,76,3,0,67,-2,1.0,3,3.0,1,52,3,7,0,0,9
6,01ausmei.mid,76,3,0,67,0,1.5,4,1.0,0,48,7,7,0,0,5
7,01ausmei.mid,76,3,0,69,2,0.5,4,2.5,2,66,3,7,0,2,11
8,01ausmei.mid,76,3,0,71,2,1.0,4,3.0,0,43,4,7,0,4,0
9,01ausmei.mid,76,3,0,69,-2,2.0,5,1.0,0,50,7,7,0,2,7
10,01ausmei.mid,76,3,0,71,2,1.0,5,3.0,0,43,4,7,0,4,0
11,01ausmei.mid,76,3,0,74,3,2.0,6,1.0,0,62,0,7,0,7,7
12,01ausmei.mid,76,3,0,72,-2,1.0,6,3.0,2,66,6,7,0,5,11
13,01ausmei.mid,76,3,0,71,-1,1.0,7,1.0,0,67,4,7,0,4,0
14,01ausmei.mid,76,3,0,69,-2,2.0,7,2.0,11,69,0,7,0,2,2
15,01ausmei.mid,76,3,0,67,-2,2.0,8,1.0,0,43,0,7,0,0,0
16,01ausmei.mid,76,3,0,67,0,1.0,8,3.0,0,43,0,7,0,0,0
17,01ausmei.mid,76,3,0,67,0,2.0,9,1.0,0,55,0,7,0,0,0
18,01ausmei.mid,76,3,0,74,7,1.0,9,3.0,0,62,0,7,0,7,7
19,01ausmei.mid,76,3,0,71,-3,1.5,10,1.0,0,55,4,7,0,4,0
20,01ausmei.mid,76,3,0,69,-2,0.5,10,2.5,0,50,7,7,0,2,7
21,01ausmei.mid,76,3,0,67,-2,1.0,10,3.0,1,52,3,7,0,0,9
22,01ausmei.mid,76,3,0,67,0,1.5,11,1.0,0,48,7,7,0,0,5
23,01ausmei.mid,76,3,0,69,2,0.5,11,2.5,2,66,3,7,0,2,11
24,01ausmei.mid,76,3,0,71,2,1.0,11,3.0,0,43,4,7,0,4,0
25,01ausmei.mid,76,3,0,69,-2,2.0,12,1.0,0,50,7,7,0,2,7
26,01ausmei.mid,76,3,0,71,2,1.0,12,3.0,0,43,4,7,0,4,0
27,01ausmei.mid,76,3,0,74,3,2.0,13,1.0,0,62,0,7,0,7,7
28,01ausmei.mid,76,3,0,72,-2,1.0,13,3.0,2,66,6,7,0,5,11
29,01ausmei.mid,76,3,0,71,-1,1.0,14,1.0,0,67,4,7,0,4,0
30,01ausmei.mid,76,3,0,69,-2,2.0,14,2.0,11,69,0,7,0,2,2
31,01ausmei.mid,76,3,0,67,-2,2.0,15,1.0,0,43,0,7,0,0,0
32,01ausmei.mid,76,3,0,71,4,1.0,15,3.0,0,43,4,7,0,4,0
33,01ausmei.mid,76,3,0,71,0,1.0,16,1.0,0,43,4,7,0,4,0
34,01ausmei.mid,76,3,0,72,1,1.0,16,2.0,1,45,3,7,0,5,2
35,01ausmei.mid,76,3,0,74,2,1.0,16,3.0,0,67,7,7,0,7,0
36,01ausmei.mid,76,3,0,74,0,1.5,17,1.0,0,67,7,7,0,7,0
37,01ausmei.mid,76,3,0,72,-2,0.5,17,2.5,10,62,10,7,0,5,7
38,01ausmei.mid,76,3,0,71,-1,1.0,17,3.0,0,43,4,7,0,4,0
39,01ausmei.mid,76,3,0,69,-2,2.0,18,1.0,0,50,7,7,0,2,7
40,01ausmei.mid,76,3,0,67,-2,1.0,18,3.0,1,52,3,7,0,0,9
41,01ausmei.mid,76,3,0,71,4,2.0,19,1.0,1,52,7,7,0,4,9
42,01ausmei.mid,76,3,0,72,1,1.0,19,3.0,1,69,3,7,0,5,2
43,01ausmei.mid,76,3,0,74,2,2.0,20,1.0,1,47,3,7,0,7,4
44,01ausmei.mid,76,3,0,72,-2,1.0,20,3.0,4,72,0,7,0,5,5
45,01ausmei.mid,76,3,0,71,-1,3.0,21,1.0,0,43,4,7,0,4,0
46,01ausmei.mid,76,3,0,67,-4,2.0,22,1.0,0,48,7,7,0,0,5
47,01ausmei.mid,76,3,0,71,4,1.0,22,3.0,0,43,4,7,0,4,0
48,01ausmei.mid,76,3,0,74,3,2.0,23,1.0,0,62,0,7,0,7,7
49,01ausmei.mid,76,3,0,72,-2,1.0,23,3.0,2,66,6,7,0,5,11
50,01ausmei.mid,76,3,0,71,-1,2.0,24,1.0,0,67,4,7,0,4,0
51,01ausmei.mid,76,3,0,69,-2,1.0,24,3.0,0,50,7,7,0,2,7
52,01ausmei.mid,76,3,0,67,-2,1.5,25,1.0,1,52,3,7,0,0,9
53,01ausmei.mid,76,3,0,69,2,0.5,25,2.5,2,66,3,7,0,2,11
54,01ausmei.mid,76,3,0,71,2,1.0,25,3.0,0,67,4,7,0,4,0
55,01ausmei.mid,76,3,0,69,-2,2.0,26,1.0,0,50,7,7,0,2,7
56,01ausmei.mid,76,3,0,71,2,1.0,26,3.0,0,55,4,7,0,4,0
57,01ausmei.mid,76,3,0,74,3,2.0,27,1.0,4,55,7,7,0,7,0
58,01ausmei.mid,76,3,0,72,-2,1.0,27,3.0,0,72,0,7,0,5,5
59,01ausmei.mid,76,3,0,71,-1,1.0,28,1.0,1,52,7,7,0,4,9
60,01ausmei.mid,76,3,0,69,-2,2.0,28,2.0,11,69,0,7,0,2,2
61,01ausmei.mid,76,3,0,67,-2,2.0,29,1.0,0,43,0,7,0,0,0
62,01ausmei.mid,76,3,1,62,0,1.0,1,3.0,0,43,7,7,0,7,0
63,01ausmei.mid,76,3,1,62,0,1.0,2,1.0,0,55,7,7,0,7,0
64,01ausmei.mid,76,3,1,64,2,1.0,2,2.0,0,60,4,7,0,9,5
65,01ausmei.mid,76,3,1,62,-2,1.0,2,3.0,0,62,0,7,0,7,7
66,01ausmei.mid,76,3,1,62,0,2.0,3,1.0,0,55,7,7,0,7,0
67,01ausmei.mid,76,3,1,59,-3,1.0,3,3.0,1,52,7,7,0,4,9
68,01ausmei.mid,76,3,1,64,5,0.5,4,1.0,0,48,4,7,0,9,5
