,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,02ichdan.mid,76,4,0,69,0,1.0,1,4.0,0,57,0,9,0,0,0
1,02ichdan.mid,76,4,0,69,0,1.0,2,1.0,1,54,3,6,1,3,0
2,02ichdan.mid,76,4,0,69,0,1.0,2,2.0,0,69,0,6,1,3,3
3,02ichdan.mid,76,4,0,69,0,1.0,2,3.0,0,50,7,6,1,3,8
4,02ichdan.mid,76,4,0,71,2,1.0,2,4.0,4,51,8,6,1,5,9
5,02ichdan.mid,76,4,0,67,-4,1.0,3,1.0,1,52,3,9,0,10,7
6,02ichdan.mid,76,4,0,66,-1,1.0,3,2.0,4,63,3,9,0,9,6
7,02ichdan.mid,76,4,0,64,-2,1.0,3,3.0,0,40,0,9,0,7,7
8,02ichdan.mid,76,4,0,71,7,1.0,3,4.0,0,52,7,9,0,2,7
9,02ichdan.mid,76,4,0,73,2,1.0,4,1.0,0,57,4,9,0,4,0
10,02ichdan.mid,76,4,0,71,-2,1.0,4,2.0,4,63,8,9,0,2,6
11,02ichdan.mid,76,4,0,69,-2,1.0,4,3.0,0,69,0,9,0,0,0
12,02ichdan.mid,76,4,0,68,-1,0.5,4,4.0,11,61,7,9,0,11,4
13,02ichdan.mid,76,4,0,66,-2,0.5,4,4.5,11,66,0,9,0,9,9
14,02ichdan.mid,76,4,0,68,2,1.0,5,1.0,0,64,4,4,0,4,0
15,02ichdan.mid,76,4,0,66,-2,1.0,5,2.0,4,63,3,4,0,2,11
16,02ichdan.mid,76,4,0,64,-2,1.0,5,3.0,0,52,0,4,0,0,0
17,02ichdan.mid,76,4,0,69,5,1.0,5,4.0,0,57,0,4,0,5,5
18,02ichdan.mid,76,4,0,69,0,1.0,6,1.0,1,54,3,9,0,0,9
19,02ichdan.mid,76,4,0,69,0,1.0,6,2.0,0,69,0,9,0,0,0
20,02ichdan.mid,76,4,0,69,0,1.0,6,3.0,0,50,7,9,0,0,5
21,02ichdan.mid,76,4,0,71,2,1.0,6,4.0,4,51,8,9,0,2,6
22,02ichdan.mid,76,4,0,67,-4,1.0,7,1.0,1,52,3,4,0,3,0
23,02ichdan.mid,76,4,0,66,-1,1.0,7,2.0,4,63,3,4,0,2,11
24,02ichdan.mid,76,4,0,64,-2,1.0,7,3.0,0,40,0,4,0,0,0
25,02ichdan.mid,76,4,0,71,7,1.0,7,4.0,0,52,7,4,0,7,0
26,02ichdan.mid,76,4,0,73,2,1.0,8,1.0,0,57,4,9,0,4,0
27,02ichdan.mid,76,4,0,71,-2,1.0,8,2.0,4,63,8,9,0,2,6
28,02ichdan.mid,76,4,0,69,-2,1.0,8,3.0,0,69,0,9,0,0,0
29,02ichdan.mid,76,4,0,68,-1,0.5,8,4.0,11,61,7,9,0,11,4
30,02ichdan.mid,76,4,0,66,-2,0.5,8,4.5,11,66,0,9,0,9,9
31,02ichdan.mid,76,4,0,68,2,1.0,9,1.0,0,64,4,4,0,4,0
32,02ichdan.mid,76,4,0,66,-2,1.0,9,2.0,4,63,3,4,0,2,11
33,02ichdan.mid,76,4,0,64,-2,1.0,9,3.0,0,52,0,4,0,0,0
34,02ichdan.mid,76,4,0,76,12,1.0,9,4.0,1,49,3,4,0,0,9
35,02ichdan.mid,76,4,0,74,-2,1.0,10,1.0,0,74,0,9,0,5,5
36,02ichdan.mid,76,4,0,73,-1,1.0,10,2.0,0,57,4,9,0,4,0
37,02ichdan.mid,76,4,0,71,-2,1.0,10,3.0,0,52,7,9,0,2,7
38,02ichdan.mid,76,4,0,69,-2,1.0,10,4.0,0,69,0,9,0,0,0
39,02ichdan.mid,76,4,0,69,0,0.5,11,1.0,0,50,7,9,0,0,5
40,02ichdan.mid,76,4,0,71,2,0.5,11,1.5,2,68,3,9,0,2,11
41,02ichdan.mid,76,4,0,73,2,1.0,11,2.0,0,69,4,9,0,4,0
42,02ichdan.mid,76,4,0,71,-2,1.0,11,3.0,0,52,7,9,0,2,7
43,02ichdan.mid,76,4,0,73,2,1.0,11,4.0,1,49,0,9,0,4,4
44,02ichdan.mid,76,4,0,74,1,1.0,12,1.0,1,47,3,9,0,5,2
45,02ichdan.mid,76,4,0,73,-1,1.0,12,2.0,4,49,0,9,0,4,4
46,02ichdan.mid,76,4,0,71,-2,1.0,12,3.0,1,59,0,9,0,2,2
47,02ichdan.mid,76,4,0,70,-1,1.0,12,4.0,4,70,0,9,0,1,1
48,02ichdan.mid,76,4,0,71,1,3.0,13,1.0,1,47,0,9,0,2,2
49,02ichdan.mid,76,4,0,64,-7,1.0,13,4.0,1,49,3,9,0,7,4
50,02ichdan.mid,76,4,0,69,5,1.0,14,1.0,1,54,3,9,0,0,9
51,02ichdan.mid,76,4,0,71,2,1.0,14,2.0,10,52,7,9,0,2,7
52,02ichdan.mid,76,4,0,73,2,1.0,14,3.0,1,49,0,9,0,4,4
53,02ichdan.mid,76,4,0,74,1,1.0,14,4.0,1,47,3,9,0,5,2
54,02ichdan.mid,76,4,0,76,2,1.0,15,1.0,0,45,7,9,0,7,0
55,02ichdan.mid,76,4,0,74,-2,0.5,15,2.0,0,69,5,9,0,5,0
56,02ichdan.mid,76,4,0,73,-1,0.5,15,2.5,20,50,11,9,0,4,5
57,02ichdan.mid,76,4,0,71,-2,1.0,15,3.0,0,52,7,9,0,2,7
58,02ichdan.mid,76,4,0,74,3,1.0,15,4.0,1,47,3,9,0,5,2
59,02ichdan.mid,76,4,0,73,-1,1.0,16,1.0,1,54,7,9,0,4,9
60,02ichdan.mid,76,4,0,71,-2,1.0,16,2.0,11,71,0,9,0,2,2
61,02ichdan.mid,76,4,0,76,5,1.5,16,3.0,0,64,0,9,0,7,7
62,02ichdan.mid,76,4,0,74,-2,0.5,16,4.5,4,68,6,9,0,5,11
63,02ichdan.mid,76,4,0,73,-1,0.5,17,1.0,0,57,4,9,0,4,0
64,02ichdan.mid,76,4,0,71,-2,0.5,17,1.5,0,64,7,9,0,2,7
65,02ichdan.mid,76,4,0,69,-2,0.5,17,2.0,1,54,3,9,0,0,9
66,02ichdan.mid,76,4,0,71,2,0.5,17,2.5,11,71,0,9,0,2,2
67,02ichdan.mid,76,4,0,73,2,1.0,17,3.0,0,69,4,9,0,4,0
68,02ichdan.mid,76,4,0,71,-2,1.0,17,4.0,0,52,7,9,0,2,7
69,02ichdan.mid,76,4,0,69,-2,3.0,18,1.0,0,45,0,9,0,0,0
70,02ichdan.mid,76,4,1,64,0,1.0,1,4.0,0,57,7,9,0,7,0
71,02ichdan.mid,76,4,1,66,2,1.0,2,1.0,1,54,0,6,1,0,0
72,02ichdan.mid,76,4,1,64,-2,1.0,2,2.0,0,69,7,6,1,10,3
73,02ichdan.mid,76,4,1,66,2,1.0,2,3.0,0,50,4,6,1,0,8
74,02ichdan.mid,76,4,1,66,0,1.0,2,4.0,4,51,3,6,1,0,9
75,02ichdan.mid,76,4,1,64,-2,1.0,3,1.0,1,52,0,9,0,7,7
76,02ichdan.mid,76,4,1,63,-1,1.0,3,2.0,4,63,0,9,0,6,6
77,02ichdan.mid,76,4,1,59,-4,1.0,3,3.0,0,40,7,9,0,2,7
78,02ichdan.mid,76,4,1,68,9,1.0,3,4.0,0,52,4,9,0,11,7
79,02ichdan.mid,76,4,1,69,1,1.0,4,1.0,0,57,0,9,0,0,0
80,02ichdan.mid,76,4,1,68,-1,0.5,4,2.0,4,63,5,9,0,11,6
81,02ichdan.mid,76,4,1,66,-2,0.5,4,2.5,4,63,3,9,0,9,6
82,02ichdan.mid,76,4,1,64,-2,2.0,4,3.0,0,69,7,9,0,7,0
83,02ichdan.mid,76,4,1,64,0,1.0,5,1.0,0,64,0,4,0,0,0
84,02ichdan.mid,76,4,1,63,-1,1.0,5,2.0,4,63,0,4,0,11,11
