,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,04esistd.mid,96,4,0,71,0,1.0,1,4.0,0,52,7,4,0,7,0
1,04esistd.mid,96,4,0,71,0,1.0,2,1.0,4,51,8,4,0,7,11
2,04esistd.mid,96,4,0,71,0,1.0,2,2.0,4,69,2,4,0,7,5
3,04esistd.mid,96,4,0,71,0,1.0,2,3.0,0,52,7,4,0,7,0
4,04esistd.mid,96,4,0,74,3,1.0,2,4.0,0,74,0,4,0,10,10
5,04esistd.mid,96,4,0,73,-1,1.0,3,1.0,0,57,4,4,0,9,5
6,04esistd.mid,96,4,0,71,-2,1.0,3,2.0,4,69,2,4,0,7,5
7,04esistd.mid,96,4,0,69,-2,1.0,3,3.0,0,45,0,4,0,5,5
8,04esistd.mid,96,4,0,71,2,1.0,3,4.0,4,51,8,4,0,7,11
9,04esistd.mid,96,4,0,68,-3,1.0,4,1.0,0,52,4,4,0,4,0
10,04esistd.mid,96,4,0,64,-4,0.5,4,2.0,0,64,0,4,0,0,0
11,04esistd.mid,96,4,0,66,2,0.5,4,2.5,1,66,0,4,0,2,2
12,04esistd.mid,96,4,0,68,2,1.0,4,3.0,1,49,7,4,0,4,9
13,04esistd.mid,96,4,0,70,2,1.0,4,4.0,4,70,0,4,0,6,6
14,04esistd.mid,96,4,0,71,1,1.0,5,1.0,4,51,8,4,0,7,11
15,04esistd.mid,96,4,0,73,2,1.0,5,2.0,1,73,0,4,0,9,9
16,04esistd.mid,96,4,0,71,-2,1.0,5,3.0,4,63,8,4,0,7,11
17,04esistd.mid,96,4,0,71,0,1.0,5,4.0,0,52,7,4,0,7,0
18,04esistd.mid,96,4,0,71,0,1.0,6,1.0,4,51,8,4,0,7,11
19,04esistd.mid,96,4,0,71,0,1.0,6,2.0,4,69,2,4,0,7,5
20,04esistd.mid,96,4,0,71,0,1.0,6,3.0,0,52,7,4,0,7,0
21,04esistd.mid,96,4,0,74,3,1.0,6,4.0,0,74,0,4,0,10,10
22,04esistd.mid,96,4,0,73,-1,1.0,7,1.0,0,57,4,4,0,9,5
23,04esistd.mid,96,4,0,71,-2,1.0,7,2.0,4,69,2,4,0,7,5
24,04esistd.mid,96,4,0,69,-2,1.0,7,3.0,0,45,0,4,0,5,5
25,04esistd.mid,96,4,0,71,2,1.0,7,4.0,4,51,8,4,0,7,11
26,04esistd.mid,96,4,0,68,-3,1.0,8,1.0,0,52,4,4,0,4,0
27,04esistd.mid,96,4,0,64,-4,0.5,8,2.0,0,64,0,4,0,0,0
28,04esistd.mid,96,4,0,66,2,0.5,8,2.5,1,66,0,4,0,2,2
29,04esistd.mid,96,4,0,68,2,1.0,8,3.0,1,49,7,4,0,4,9
30,04esistd.mid,96,4,0,70,2,1.0,8,4.0,4,70,0,4,0,6,6
31,04esistd.mid,96,4,0,71,1,1.0,9,1.0,4,51,8,4,0,7,11
32,04esistd.mid,96,4,0,73,2,1.0,9,2.0,1,73,0,4,0,9,9
33,04esistd.mid,96,4,0,71,-2,1.0,9,3.0,4,63,8,4,0,7,11
34,04esistd.mid,96,4,0,71,0,1.0,9,4.0,0,52,7,4,0,7,0
35,04esistd.mid,96,4,0,76,5,1.0,10,1.0,1,49,3,4,0,0,9
36,04esistd.mid,96,4,0,75,-1,1.0,10,2.0,4,51,0,4,0,11,11
37,04esistd.mid,96,4,0,73,-2,1.0,10,3.0,4,70,3,4,0,9,6
38,04esistd.mid,96,4,0,75,2,1.0,10,4.0,4,75,0,4,0,11,11
39,04esistd.mid,96,4,0,76,1,0.5,11,1.0,0,76,0,4,0,0,0
40,04esistd.mid,96,4,0,75,-1,0.5,11,1.5,4,52,11,4,0,11,0
41,04esistd.mid,96,4,0,73,-2,1.0,11,2.0,4,58,3,4,0,9,6
42,04esistd.mid,96,4,0,71,-2,1.0,11,3.0,4,63,8,4,0,7,11
43,04esistd.mid,96,4,0,71,0,1.0,11,4.0,0,52,7,4,0,7,0
44,04esistd.mid,96,4,0,76,5,1.0,12,1.0,0,64,0,4,0,0,0
45,04esistd.mid,96,4,0,71,-5,1.0,12,2.0,0,52,7,4,0,7,0
46,04esistd.mid,96,4,0,73,2,1.0,12,3.0,0,57,4,4,0,9,5
47,04esistd.mid,96,4,0,68,-5,0.5,12,4.0,1,61,7,4,0,4,9
48,04esistd.mid,96,4,0,69,1,0.5,12,4.5,1,66,3,4,0,5,2
49,04esistd.mid,96,4,0,71,2,1.0,13,1.0,32,68,3,4,0,7,4
50,04esistd.mid,96,4,0,69,-2,1.0,13,2.0,1,54,3,4,0,5,2
51,04esistd.mid,96,4,0,68,-1,1.0,13,3.0,4,65,3,4,0,4,1
52,04esistd.mid,96,4,0,68,0,1.0,13,4.0,0,52,4,4,0,4,0
53,04esistd.mid,96,4,0,66,-2,1.0,14,1.0,4,63,3,4,0,2,11
54,04esistd.mid,96,4,0,69,3,1.0,14,2.0,0,69,0,4,0,5,5
55,04esistd.mid,96,4,0,68,-1,1.0,14,3.0,0,52,4,4,0,4,0
56,04esistd.mid,96,4,0,66,-2,1.0,14,4.0,4,63,3,4,0,2,11
57,04esistd.mid,96,4,0,61,-5,1.0,15,1.0,4,46,3,4,0,9,6
58,04esistd.mid,96,4,0,63,2,1.0,15,2.0,4,63,0,4,0,11,11
59,04esistd.mid,96,4,0,64,1,1.0,15,3.0,0,40,0,4,0,0,0
60,04esistd.mid,96,4,1,68,0,1.0,1,4.0,0,52,4,4,0,4,0
61,04esistd.mid,96,4,1,66,-2,0.5,2,1.0,4,51,3,4,0,2,11
62,04esistd.mid,96,4,1,68,2,0.5,2,1.5,4,51,5,4,0,4,11
63,04esistd.mid,96,4,1,69,1,1.0,2,2.0,4,69,0,4,0,5,5
64,04esistd.mid,96,4,1,68,-1,1.0,2,3.0,0,52,4,4,0,4,0
65,04esistd.mid,96,4,1,66,-2,1.0,2,4.0,0,74,4,4,0,2,10
66,04esistd.mid,96,4,1,64,-2,0.5,3,1.0,0,57,7,4,0,0,5
67,04esistd.mid,96,4,1,69,5,0.5,3,1.5,0,57,0,4,0,5,5
68,04esistd.mid,96,4,1,69,0,0.5,3,2.0,4,69,0,4,0,5,5
69,04esistd.mid,96,4,1,68,-1,0.5,3,2.5,10,52,4,4,0,4,0
70,04esistd.mid,96,4,1,64,-4,1.0,3,3.0,0,45,7,4,0,0,5
71,04esistd.mid,96,4,1,66,2,1.0,3,4.0,4,51,3,4,0,2,11
72,04esistd.mid,96,4,1,64,-2,1.0,4,1.0,0,52,0,4,0,0,0
73,04esistd.mid,96,4,1,64,0,0.5,4,2.0,0,64,0,4,0,0,0
74,04esistd.mid,96,4,1,63,-1,0.5,4,2.5,1,66,9,4,0,11,2
75,04esistd.mid,96,4,1,64,1,1.0,4,3.0,1,49,3,4,0,0,9
76,04esistd.mid,96,4,1,61,-3,1.0,4,4.0,4,70,3,4,0,9,6
77,04esistd.mid,96,4,1,66,5,0.5,5,1.0,4,51,3,4,0,2,11
78,04esistd.mid,96,4,1,64,-2,0.25,5,1.5,1,49,3,4,0,0,9
79,04esistd.mid,96,4,1,63,-1,0.25,5,1.75,4,63,0,4,0,11,11
80,04esistd.mid,96,4,1,64,1,1.0,5,2.0,1,73,3,4,0,0,9
81,04esistd.mid,96,4,1,63,-1,1.0,5,3.0,4,63,0,4,0,11,11
82,04esistd.mid,96,4,1,68,5,1.0,5,4.0,0,52,4,4,0,4,0
83,04esistd.mid,96,4,1,66,-2,0.5,6,1.0,4,51,3,4,0,2,11
84,04esistd.mid,96,4,1,68,2,0.5,6,1.5,4,51,5,4,0,4,11
85,04esistd.mid,96,4,1,69,1,1.0,6,2.0,4,69,0,4,0,5,5
86,04esistd.mid,96,4,1,68,-1,1.0,6,3.0,0,52,4,4,0,4,0
87,04esistd.mid,96,4,1,66,-2,1.0,6,4.0,0,74,4,4,0,2,10
88,04esistd.mid,96,4,1,64,-2,0.5,7,1.0,0,57,7,4,0,0,5
89,04esistd.mid,96,4,1,69,5,0.5,7,1.5,0,57,0,4,0,5,5
90,04esistd.mid,96,4,1,69,0,0.5,7,2.0,4,69,0,4,0,5,5
91,04esistd.mid,96,4,1,68,-1,0.5,7,2.5,10,52,4,4,0,4,0
92,04esistd.mid,96,4,1,64,-4,1.0,7,3.0,0,45,7,4,0,0,5
93,04esistd.mid,96,4,1,66,2,1.0,7,4.0,4,51,3,4,0,2,11
94,04esistd.mid,96,4,1,64,-2,1.0,8,1.0,0,52,0,4,0,0,0
95,04esistd.mid,96,4,1,64,0,0.5,8,2.0,0,64,0,4,0,0,0
96,04esistd.mid,96,4,1,63,-1,0.5,8,2.5,1,66,9,4,0,11,2
97,04esistd.mid,96,4,1,64,1,1.0,8,3.0,1,49,3,4,0,0,9
98,04esistd.mid,96,4,1,61,-3,1.0,8,4.0,4,70,3,4,0,9,6
99,04esistd.mid,96,4,1,66,5,0.5,9,1.0,4,51,3,4,0,2,11
100,04esistd.mid,96,4,1,64,-2,0.25,9,1.5,1,49,3,4,0,0,9
101,04esistd.mid,96,4,1,63,-1,0.25,9,1.75,4,63,0,4,0,11,11
102,04esistd.mid,96,4,1,64,1,1.0,9,2.0,1,73,3,4,0,0,9
103,04esistd.mid,96,4,1,63,-1,1.0,9,3.0,4,63,0,4,0,11,11
104,04esistd.mid,96,4,1,64,1,0.5,9,4.0,0,52,0,4,0,0,0
105,04esistd.mid,96,4,1,66,2,0.5,9,4.5,0,52,2,4,0,2,0
106,04esistd.mid,96,4,1,68,2,0.5,10,1.0,1,49,7,4,0,4,9
107,04esistd.mid,96,4,1,70,2,0.5,10,1.5,1,49,9,4,0,6,9
108,04esistd.mid,96,4,1,71,1,1.0,10,2.0,4,51,8,4,0,7,11
109,04esistd.mid,96,4,1,70,-1,1.0,10,3.0,4,70,0,4,0,6,6
110,04esistd.mid,96,4,1,71,1,1.0,10,4.0,4,75,8,4,0,7,11
111,04esistd.mid,96,4,1,71,0,1.0,11,1.0,0,76,7,4,0,7,0
112,04esistd.mid,96,4,1,66,-5,1.0,11,2.0,4,58,8,4,0,2,6
113,04esistd.mid,96,4,1,66,0,1.0,11,3.0,4,63,3,4,0,2,11
114,04esistd.mid,96,4,1,68,2,1.0,11,4.0,0,52,4,4,0,4,0
115,04esistd.mid,96,4,1,64,-4,0.5,12,1.0,0,64,0,4,0,0,0
116,04esistd.mid,96,4,1,66,2,0.5,12,1.5,0,76,2,4,0,2,0
117,04esistd.mid,96,4,1,68,2,1.0,12,2.0,0,52,4,4,0,4,0
118,04esistd.mid,96,4,1,69,1,1.0,12,3.0,0,57,0,4,0,5,5
119,04esistd.mid,96,4,1,64,-5,0.5,12,4.0,1,61,3,4,0,0,9
120,04esistd.mid,96,4,1,66,2,0.5,12,4.5,1,66,0,4,0,2,2
121,04esistd.mid,96,4,1,68,2,1.0,13,1.0,32,68,0,4,0,4,4
122,04esistd.mid,96,4,1,66,-2,1.0,13,2.0,1,54,0,4,0,2,2
123,04esistd.mid,96,4,1,65,-1,1.0,13,3.0,4,65,0,4,0,1,1
124,04esistd.mid,96,4,1,64,-1,1.0,13,4.0,0,52,0,4,0,0,0
125,04esistd.mid,96,4,1,63,-1,1.0,14,1.0,4,63,0,4,0,11,11
126,04esistd.mid,96,4,1,64,1,1.0,14,2.0,0,69,7,4,0,0,5
127,04esistd.mid,96,4,1,64,0,1.0,14,3.0,0,52,0,4,0,0,0
128,04esistd.mid,96,4,1,63,-1,0.5,14,4.0,4,63,0,4,0,11,11
129,04esistd.mid,96,4,1,59,-4,0.5,14,4.5,4,47,0,4,0,7,7
130,04esistd.mid,96,4,1,61,2,1.0,15,1.0,4,46,3,4,0,9,6
131,04esistd.mid,96,4,1,59,-2,1.0,15,2.0,4,63,8,4,0,7,11
132,04esistd.mid,96,4,1,59,0,1.0,15,3.0,0,40,7,4,0,7,0
133,04esistd.mid,96,4,2,64,0,1.0,1,4.0,0,52,0,4,0,0,0
134,04esistd.mid,96,4,2,66,2,1.0,2,1.0,4,51,3,4,0,2,11
135,04esistd.mid,96,4,2,64,-2,0.5,2,2.0,4,69,7,4,0,0,5
136,04esistd.mid,96,4,2,63,-1,0.5,2,2.5,4,69,6,4,0,11,5
137,04esistd.mid,96,4,2,64,1,1.0,2,3.0,0,52,0,4,0,0,0
138,04esistd.mid,96,4,2,57,-7,0.5,2,4.0,0,74,7,4,0,5,10
139,04esistd.mid,96,4,2,59,2,0.5,2,4.5,12,56,3,4,0,7,4
140,04esistd.mid,96,4,2,61,2,0.25,3,1.0,0,57,4,4,0,9,5
141,04esistd.mid,96,4,2,62,1,0.25,3,1.25,0,57,5,4,0,10,5
142,04esistd.mid,96,4,2,64,2,1.0,3,1.5,0,57,7,4,0,0,5
143,04esistd.mid,96,4,2,62,-2,0.5,3,2.5,10,52,10,4,0,10,0
144,04esistd.mid,96,4,2,61,-1,1.0,3,3.0,0,45,4,4,0,9,5
145,04esistd.mid,96,4,2,59,-2,1.0,3,4.0,4,51,8,4,0,7,11
146,04esistd.mid,96,4,2,59,0,1.0,4,1.0,0,52,7,4,0,7,0
147,04esistd.mid,96,4,2,59,0,0.5,4,2.0,0,64,7,4,0,7,0
148,04esistd.mid,96,4,2,57,-2,0.5,4,2.5,1,66,3,4,0,5,2
149,04esistd.mid,96,4,2,56,-1,1.0,4,3.0,1,49,7,4,0,4,9
150,04esistd.mid,96,4,2,54,-2,1.0,4,4.0,4,70,8,4,0,2,6
151,04esistd.mid,96,4,2,54,0,0.5,5,1.0,4,51,3,4,0,2,11
152,04esistd.mid,96,4,2,59,5,1.0,5,1.5,1,49,10,4,0,7,9
153,04esistd.mid,96,4,2,58,-1,0.5,5,2.5,1,73,9,4,0,6,9
154,04esistd.mid,96,4,2,54,-4,1.0,5,3.0,4,63,3,4,0,2,11
155,04esistd.mid,96,4,2,64,10,1.0,5,4.0,0,52,0,4,0,0,0
156,04esistd.mid,96,4,2,66,2,1.0,6,1.0,4,51,3,4,0,2,11
157,04esistd.mid,96,4,2,64,-2,0.5,6,2.0,4,69,7,4,0,0,5
158,04esistd.mid,96,4,2,63,-1,0.5,6,2.5,4,69,6,4,0,11,5
159,04esistd.mid,96,4,2,64,1,1.0,6,3.0,0,52,0,4,0,0,0
160,04esistd.mid,96,4,2,57,-7,0.5,6,4.0,0,74,7,4,0,5,10
161,04esistd.mid,96,4,2,59,2,0.5,6,4.5,12,56,3,4,0,7,4
162,04esistd.mid,96,4,2,61,2,0.25,7,1.0,0,57,4,4,0,9,5
163,04esistd.mid,96,4,2,62,1,0.25,7,1.25,0,57,5,4,0,10,5
164,04esistd.mid,96,4,2,64,2,1.0,7,1.5,0,57,7,4,0,0,5
165,04esistd.mid,96,4,2,62,-2,0.5,7,2.5,10,52,10,4,0,10,0
166,04esistd.mid,96,4,2,61,-1,1.0,7,3.0,0,45,4,4,0,9,5
167,04esistd.mid,96,4,2,59,-2,1.0,7,4.0,4,51,8,4,0,7,11
168,04esistd.mid,96,4,2,59,0,1.0,8,1.0,0,52,7,4,0,7,0
169,04esistd.mid,96,4,2,59,0,0.5,8,2.0,0,64,7,4,0,7,0
170,04esistd.mid,96,4,2,57,-2,0.5,8,2.5,1,66,3,4,0,5,2
171,04esistd.mid,96,4,2,56,-1,1.0,8,3.0,1,49,7,4,0,4,9
172,04esistd.mid,96,4,2,54,-2,1.0,8,4.0,4,70,8,4,0,2,6
173,04esistd.mid,96,4,2,54,0,0.5,9,1.0,4,51,3,4,0,2,11
174,04esistd.mid,96,4,2,59,5,1.0,9,1.5,1,49,10,4,0,7,9
175,04esistd.mid,96,4,2,58,-1,0.5,9,2.5,1,73,9,4,0,6,9
176,04esistd.mid,96,4,2,54,-4,1.0,9,3.0,4,63,3,4,0,2,11
177,04esistd.mid,96,4,2,56,2,1.0,9,4.0,0,52,4,4,0,4,0
178,04esistd.mid,96,4,2,61,5,1.0,10,1.0,1,49,0,4,0,9,9
179,04esistd.mid,96,4,2,54,-7,1.0,10,2.0,4,51,3,4,0,2,11
180,04esistd.mid,96,4,2,66,12,1.0,10,3.0,4,70,8,4,0,2,6
181,04esistd.mid,96,4,2,66,0,1.0,10,4.0,4,75,3,4,0,2,11
182,04esistd.mid,96,4,2,59,-7,1.0,11,1.0,0,76,7,4,0,7,0
183,04esistd.mid,96,4,2,58,-1,1.0,11,2.0,4,58,0,4,0,6,6
184,04esistd.mid,96,4,2,63,5,1.0,11,3.0,4,63,0,4,0,11,11
185,04esistd.mid,96,4,2,64,1,1.0,11,4.0,0,52,0,4,0,0,0
186,04esistd.mid,96,4,2,59,-5,1.0,12,1.0,0,64,7,4,0,7,0
187,04esistd.mid,96,4,2,64,5,1.0,12,2.0,0,52,0,4,0,0,0
188,04esistd.mid,96,4,2,64,0,1.0,12,3.0,0,57,7,4,0,0,5
189,04esistd.mid,96,4,2,61,-3,1.0,12,4.0,1,61,0,4,0,9,9
190,04esistd.mid,96,4,2,62,1,1.0,13,1.0,32,68,6,4,0,10,4
191,04esistd.mid,96,4,2,61,-1,1.0,13,2.0,1,54,7,4,0,9,2
192,04esistd.mid,96,4,2,61,0,1.0,13,3.0,4,65,8,4,0,9,1
193,04esistd.mid,96,4,2,59,-2,1.0,13,4.0,0,52,7,4,0,7,0
194,04esistd.mid,96,4,2,59,0,1.0,14,1.0,4,63,8,4,0,7,11
195,04esistd.mid,96,4,2,61,2,1.0,14,2.0,0,69,4,4,0,9,5
196,04esistd.mid,96,4,2,59,-2,1.0,14,3.0,0,52,7,4,0,7,0
197,04esistd.mid,96,4,2,59,0,1.0,14,4.0,4,63,8,4,0,7,11
198,04esistd.mid,96,4,2,54,-5,2.0,15,1.0,4,46,8,4,0,2,6
199,04esistd.mid,96,4,2,56,2,1.0,15,3.0,0,40,4,4,0,4,0
200,04esistd.mid,96,4,3,52,0,1.0,1,4.0,0,52,0,4,0,0,0
201,04esistd.mid,96,4,3,51,-1,1.0,2,1.0,4,51,0,4,0,11,11
202,04esistd.mid,96,4,3,47,-4,1.0,2,2.0,4,69,2,4,0,7,5
203,04esistd.mid,96,4,3,52,5,1.0,2,3.0,0,52,0,4,0,0,0
204,04esistd.mid,96,4,3,54,2,0.5,2,4.0,0,74,4,4,0,2,10
205,04esistd.mid,96,4,3,56,2,0.5,2,4.5,12,56,0,4,0,4,4
206,04esistd.mid,96,4,3,57,1,1.0,3,1.0,0,57,0,4,0,5,5
207,04esistd.mid,96,4,3,52,-5,1.0,3,2.0,4,69,7,4,0,0,5
208,04esistd.mid,96,4,3,45,-7,1.0,3,3.0,0,45,0,4,0,5,5
209,04esistd.mid,96,4,3,51,6,1.0,3,4.0,4,51,0,4,0,11,11
210,04esistd.mid,96,4,3,52,1,0.5,4,1.0,0,52,0,4,0,0,0
