,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,06christ.mid,96,4,0,65,0,1.0,1,4.0,0,41,0,5,0,0,0
1,06christ.mid,96,4,0,69,4,1.0,2,1.0,0,53,4,5,0,4,0
2,06christ.mid,96,4,0,67,-2,1.0,2,2.0,0,60,7,5,0,2,7
3,06christ.mid,96,4,0,69,2,1.0,2,3.0,10,65,4,5,0,4,0
4,06christ.mid,96,4,0,70,1,1.0,2,4.0,0,70,0,5,0,5,5
5,06christ.mid,96,4,0,72,2,2.0,3,1.0,0,48,0,5,0,7,7
6,06christ.mid,96,4,0,69,-3,1.0,3,3.0,0,53,4,5,0,4,0
7,06christ.mid,96,4,0,74,5,1.0,3,4.0,0,46,4,5,0,9,5
8,06christ.mid,96,4,0,72,-2,1.0,4,1.0,0,65,7,5,0,7,0
9,06christ.mid,96,4,0,70,-2,1.0,4,2.0,11,43,3,5,0,5,2
10,06christ.mid,96,4,0,69,-1,1.0,4,3.0,0,41,4,5,0,4,0
11,06christ.mid,96,4,0,67,-2,1.0,4,4.0,4,65,2,5,0,2,0
12,06christ.mid,96,4,0,69,2,2.0,5,1.0,0,41,4,5,0,4,0
13,06christ.mid,96,4,0,72,3,1.0,5,4.0,0,65,7,5,0,7,0
14,06christ.mid,96,4,0,74,2,1.0,6,1.0,12,47,3,5,0,9,6
15,06christ.mid,96,4,0,76,2,1.0,6,2.0,0,48,4,5,0,11,7
16,06christ.mid,96,4,0,77,1,1.0,6,3.0,1,50,3,5,0,0,9
17,06christ.mid,96,4,0,76,-1,1.0,6,4.0,1,57,7,5,0,11,4
18,06christ.mid,96,4,0,74,-2,2.0,7,1.0,11,74,0,5,0,9,9
19,06christ.mid,96,4,0,72,-2,1.0,7,3.0,0,48,0,5,0,7,7
20,06christ.mid,96,4,0,69,-3,1.0,7,4.0,0,41,4,5,0,4,0
21,06christ.mid,96,4,0,70,1,1.0,8,1.0,1,43,3,5,0,5,2
22,06christ.mid,96,4,0,69,-1,1.0,8,2.0,0,65,4,5,0,4,0
23,06christ.mid,96,4,0,67,-2,1.0,8,3.0,1,67,0,5,0,2,2
24,06christ.mid,96,4,0,67,0,1.0,8,4.0,0,48,7,5,0,2,7
25,06christ.mid,96,4,0,65,-2,3.0,9,1.0,0,41,0,5,0,0,0
26,06christ.mid,96,4,1,60,0,1.0,1,4.0,0,41,7,5,0,7,0
27,06christ.mid,96,4,1,65,5,1.0,2,1.0,0,53,0,5,0,0,0
28,06christ.mid,96,4,1,67,2,1.0,2,2.0,0,60,7,5,0,2,7
29,06christ.mid,96,4,1,65,-2,1.0,2,3.0,10,65,0,5,0,0,0
30,06christ.mid,96,4,1,65,0,1.0,2,4.0,0,70,7,5,0,0,5
31,06christ.mid,96,4,1,64,-1,0.5,3,1.0,0,48,4,5,0,11,7
32,06christ.mid,96,4,1,65,1,0.5,3,1.5,1,50,3,5,0,0,9
33,06christ.mid,96,4,1,67,2,0.5,3,2.0,0,60,7,5,0,2,7
34,06christ.mid,96,4,1,64,-3,0.5,3,2.5,0,48,4,5,0,11,7
35,06christ.mid,96,4,1,65,1,1.0,3,3.0,0,53,0,5,0,0,0
36,06christ.mid,96,4,1,65,0,1.0,3,4.0,0,46,7,5,0,0,5
37,06christ.mid,96,4,1,65,0,1.5,4,1.0,0,65,0,5,0,0,0
38,06christ.mid,96,4,1,64,-1,0.5,4,2.5,2,64,0,5,0,11,11
39,06christ.mid,96,4,1,65,1,1.5,4,3.0,0,41,0,5,0,0,0
40,06christ.mid,96,4,1,64,-1,0.5,4,4.5,0,48,4,5,0,11,7
41,06christ.mid,96,4,1,65,1,2.0,5,1.0,0,41,0,5,0,0,0
42,06christ.mid,96,4,1,69,4,1.0,5,4.0,0,65,4,5,0,4,0
43,06christ.mid,96,4,1,69,0,0.5,6,1.0,12,47,10,5,0,4,6
44,06christ.mid,96,4,1,67,-2,1.0,6,1.5,10,67,0,5,0,2,2
45,06christ.mid,96,4,1,72,5,0.25,6,2.5,0,48,0,5,0,7,7
46,06christ.mid,96,4,1,70,-2,0.25,6,2.75,0,48,10,5,0,5,7
47,06christ.mid,96,4,1,69,-1,1.0,6,3.0,1,50,7,5,0,4,9
48,06christ.mid,96,4,1,69,0,1.0,6,4.0,1,57,0,5,0,4,4
49,06christ.mid,96,4,1,69,0,1.0,7,1.0,11,74,7,5,0,4,9
50,06christ.mid,96,4,1,67,-2,1.0,7,2.0,0,55,0,5,0,2,2
51,06christ.mid,96,4,1,67,0,1.0,7,3.0,0,48,7,5,0,2,7
52,06christ.mid,96,4,1,65,-2,1.0,7,4.0,0,41,0,5,0,0,0
53,06christ.mid,96,4,1,65,0,0.5,8,1.0,1,43,10,5,0,0,2
54,06christ.mid,96,4,1,64,-1,0.5,8,1.5,2,64,0,5,0,11,11
55,06christ.mid,96,4,1,65,1,1.0,8,2.0,0,65,0,5,0,0,0
56,06christ.mid,96,4,1,65,0,1.0,8,3.0,1,67,10,5,0,0,2
57,06christ.mid,96,4,1,64,-1,1.0,8,4.0,0,48,4,5,0,11,7
58,06christ.mid,96,4,1,60,-4,3.0,9,1.0,0,41,7,5,0,7,0
59,06christ.mid,96,4,2,57,0,1.0,1,4.0,0,41,4,5,0,4,0
60,06christ.mid,96,4,2,60,3,1.0,2,1.0,0,53,7,5,0,7,0
61,06christ.mid,96,4,2,60,0,1.0,2,2.0,0,60,0,5,0,7,7
62,06christ.mid,96,4,2,60,0,1.0,2,3.0,10,65,7,5,0,7,0
63,06christ.mid,96,4,2,62,2,1.0,2,4.0,0,70,4,5,0,9,5
64,06christ.mid,96,4,2,55,-7,1.0,3,1.0,0,48,7,5,0,2,7
65,06christ.mid,96,4,2,60,5,1.0,3,2.0,0,60,0,5,0,7,7
66,06christ.mid,96,4,2,60,0,1.0,3,3.0,0,53,7,5,0,7,0
67,06christ.mid,96,4,2,58,-2,1.0,3,4.0,0,46,0,5,0,5,5
68,06christ.mid,96,4,2,60,2,1.0,4,1.0,0,65,7,5,0,7,0
69,06christ.mid,96,4,2,62,2,0.5,4,2.0,11,43,7,5,0,9,2
70,06christ.mid,96,4,2,58,-4,0.5,4,2.5,2,64,6,5,0,5,11
71,06christ.mid,96,4,2,60,2,1.0,4,3.0,0,41,7,5,0,7,0
72,06christ.mid,96,4,2,60,0,1.0,4,4.0,4,65,7,5,0,7,0
73,06christ.mid,96,4,2,60,0,2.0,5,1.0,0,41,7,5,0,7,0
74,06christ.mid,96,4,2,65,5,1.0,5,4.0,0,65,0,5,0,0,0
75,06christ.mid,96,4,2,65,0,1.0,6,1.0,12,47,6,5,0,0,6
76,06christ.mid,96,4,2,64,-1,1.5,6,2.0,0,48,4,5,0,11,7
77,06christ.mid,96,4,2,62,-2,0.5,6,3.5,1,62,0,5,0,9,9
78,06christ.mid,96,4,2,60,-2,1.0,6,4.0,1,57,3,5,0,7,4
79,06christ.mid,96,4,2,60,0,1.0,7,1.0,11,74,10,5,0,7,9
80,06christ.mid,96,4,2,59,-1,1.0,7,2.0,0,55,4,5,0,6,2
81,06christ.mid,96,4,2,64,5,1.0,7,3.0,0,48,4,5,0,11,7
82,06christ.mid,96,4,2,60,-4,1.0,7,4.0,0,41,7,5,0,7,0
83,06christ.mid,96,4,2,58,-2,1.0,8,1.0,1,43,3,5,0,5,2
84,06christ.mid,96,4,2,60,2,1.0,8,2.0,0,65,7,5,0,7,0
85,06christ.mid,96,4,2,61,1,1.0,8,3.0,1,67,6,5,0,8,2
86,06christ.mid,96,4,2,60,-1,0.75,8,4.0,0,48,0,5,0,7,7
87,06christ.mid,96,4,2,58,-2,0.25,8,4.75,10,48,10,5,0,5,7
