,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,07nunlob.mid,96,3,0,69,0,1.0,1,3.0,0,57,0,9,0,0,0
1,07nunlob.mid,96,3,0,69,0,2.0,2,1.0,1,54,3,6,1,3,0
2,07nunlob.mid,96,3,0,68,-1,1.0,2,3.0,1,49,7,6,1,2,7
3,07nunlob.mid,96,3,0,66,-2,2.0,3,1.0,0,50,4,9,0,9,5
4,07nunlob.mid,96,3,0,64,-2,1.0,3,3.0,10,64,0,9,0,7,7
5,07nunlob.mid,96,3,0,69,5,1.0,4,1.0,0,57,0,9,0,0,0
6,07nunlob.mid,96,3,0,71,2,2.0,4,2.0,11,71,0,9,0,2,2
7,07nunlob.mid,96,3,0,73,2,2.0,5,1.0,0,45,4,9,0,4,0
8,07nunlob.mid,96,3,0,73,0,1.0,5,3.0,0,57,4,9,0,4,0
9,07nunlob.mid,96,3,0,73,0,1.0,6,1.0,4,53,8,9,0,4,8
10,07nunlob.mid,96,3,0,71,-2,1.0,6,2.0,1,68,3,9,0,2,11
11,07nunlob.mid,96,3,0,73,2,1.0,6,3.0,4,59,2,9,0,4,2
12,07nunlob.mid,96,3,0,73,0,2.0,7,1.0,1,54,7,9,0,4,9
13,07nunlob.mid,96,3,0,71,-2,1.0,7,3.0,10,64,7,9,0,2,7
14,07nunlob.mid,96,3,0,69,-2,1.0,8,1.0,0,69,0,9,0,0,0
15,07nunlob.mid,96,3,0,71,2,2.0,8,2.0,11,71,0,9,0,2,2
16,07nunlob.mid,96,3,0,69,-2,2.0,9,1.0,0,45,0,9,0,0,0
17,07nunlob.mid,96,3,0,69,0,1.0,9,3.0,0,57,0,9,0,0,0
18,07nunlob.mid,96,3,0,69,0,2.0,10,1.0,1,54,3,9,0,0,9
19,07nunlob.mid,96,3,0,68,-1,1.0,10,3.0,1,49,7,9,0,11,4
20,07nunlob.mid,96,3,0,66,-2,2.0,11,1.0,0,50,4,9,0,9,5
21,07nunlob.mid,96,3,0,64,-2,1.0,11,3.0,10,64,0,9,0,7,7
22,07nunlob.mid,96,3,0,69,5,1.0,12,1.0,0,57,0,9,0,0,0
23,07nunlob.mid,96,3,0,71,2,2.0,12,2.0,11,71,0,9,0,2,2
24,07nunlob.mid,96,3,0,73,2,2.0,13,1.0,0,45,4,9,0,4,0
25,07nunlob.mid,96,3,0,73,0,1.0,13,3.0,0,57,4,9,0,4,0
26,07nunlob.mid,96,3,0,73,0,1.0,14,1.0,4,53,8,9,0,4,8
27,07nunlob.mid,96,3,0,71,-2,1.0,14,2.0,1,68,3,9,0,2,11
28,07nunlob.mid,96,3,0,73,2,1.0,14,3.0,4,59,2,9,0,4,2
29,07nunlob.mid,96,3,0,73,0,2.0,15,1.0,1,54,7,9,0,4,9
30,07nunlob.mid,96,3,0,71,-2,1.0,15,3.0,10,64,7,9,0,2,7
31,07nunlob.mid,96,3,0,69,-2,1.0,16,1.0,0,69,0,9,0,0,0
32,07nunlob.mid,96,3,0,71,2,2.0,16,2.0,11,71,0,9,0,2,2
33,07nunlob.mid,96,3,0,69,-2,2.0,17,1.0,0,45,0,9,0,0,0
34,07nunlob.mid,96,3,0,69,0,1.0,17,3.0,0,45,0,9,0,0,0
35,07nunlob.mid,96,3,0,69,0,1.0,18,1.0,0,50,7,9,0,0,5
36,07nunlob.mid,96,3,0,71,2,1.0,18,2.0,2,68,3,9,0,2,11
37,07nunlob.mid,96,3,0,73,2,1.0,18,3.0,0,57,4,9,0,4,0
38,07nunlob.mid,96,3,0,71,-2,2.0,19,1.0,1,56,3,6,1,5,2
39,07nunlob.mid,96,3,0,73,2,1.0,19,3.0,4,53,8,6,1,7,11
40,07nunlob.mid,96,3,0,69,-4,1.0,20,1.0,1,54,3,6,1,3,0
41,07nunlob.mid,96,3,0,68,-1,2.0,20,2.0,12,68,0,6,1,2,2
42,07nunlob.mid,96,3,0,66,-2,2.0,21,1.0,1,42,0,6,1,0,0
43,07nunlob.mid,96,3,0,71,5,1.0,21,3.0,1,66,5,6,1,5,0
44,07nunlob.mid,96,3,0,71,0,1.0,22,1.0,0,52,7,9,0,2,7
45,07nunlob.mid,96,3,0,69,-2,1.0,22,2.0,4,57,0,9,0,0,0
46,07nunlob.mid,96,3,0,68,-1,1.0,22,3.0,10,64,4,9,0,11,7
47,07nunlob.mid,96,3,0,69,1,1.0,23,1.0,0,69,0,6,1,3,3
48,07nunlob.mid,96,3,0,66,-3,2.0,23,2.0,11,66,0,6,1,0,0
49,07nunlob.mid,96,3,0,64,-2,2.0,24,1.0,0,52,0,9,0,7,7
50,07nunlob.mid,96,3,0,64,0,1.0,24,3.0,1,49,3,9,0,7,4
