,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,08freuet.mid,80,4,0,72,0,1.0,1,1.0,4,53,7,5,1,7,0
1,08freuet.mid,80,4,0,72,0,1.0,1,2.0,10,65,7,5,1,7,0
2,08freuet.mid,80,4,0,70,-2,1.0,1,3.0,4,58,0,5,1,5,5
3,08freuet.mid,80,4,0,68,-2,1.0,1,4.0,4,65,3,5,1,3,0
4,08freuet.mid,80,4,0,67,-1,1.0,2,1.0,1,67,0,5,1,2,2
5,08freuet.mid,80,4,0,64,-3,1.0,2,2.0,0,48,4,5,1,11,7
6,08freuet.mid,80,4,0,65,1,1.0,2,3.0,4,56,9,5,1,0,3
7,08freuet.mid,80,4,0,65,0,1.0,2,4.0,4,41,0,5,1,0,0
8,08freuet.mid,80,4,0,68,3,1.5,3,1.0,4,53,3,5,1,3,0
9,08freuet.mid,80,4,0,70,2,0.5,3,2.5,4,49,9,5,1,5,8
10,08freuet.mid,80,4,0,72,2,1.0,3,3.0,4,48,0,5,1,7,7
11,08freuet.mid,80,4,0,72,0,1.0,3,4.0,4,72,0,5,1,7,7
12,08freuet.mid,80,4,0,70,-2,1.5,4,1.0,4,68,2,5,1,5,3
13,08freuet.mid,80,4,0,68,-2,0.5,4,2.5,4,61,7,5,1,3,8
14,08freuet.mid,80,4,0,68,0,2.0,4,3.0,4,60,8,5,1,3,7
15,08freuet.mid,80,4,0,68,0,1.0,5,1.0,4,65,3,5,1,3,0
16,08freuet.mid,80,4,0,70,2,1.0,5,2.0,4,48,10,5,1,5,7
17,08freuet.mid,80,4,0,70,0,1.0,5,3.0,10,48,10,5,1,5,7
18,08freuet.mid,80,4,0,68,-2,1.0,5,4.0,4,53,3,5,1,3,0
19,08freuet.mid,80,4,0,67,-1,1.5,6,1.0,1,67,0,5,1,2,2
20,08freuet.mid,80,4,0,65,-2,0.5,6,2.5,0,48,5,5,1,0,7
21,08freuet.mid,80,4,0,65,0,2.0,6,3.0,4,41,0,5,1,0,0
22,08freuet.mid,80,4,0,72,7,1.0,7,1.0,0,53,7,5,1,7,0
23,08freuet.mid,80,4,0,72,0,1.0,7,2.0,0,65,7,5,1,7,0
24,08freuet.mid,80,4,0,73,1,1.0,7,3.0,4,46,3,5,1,8,5
25,08freuet.mid,80,4,0,73,0,1.0,7,4.0,4,58,3,5,1,8,5
26,08freuet.mid,80,4,0,70,-3,1.0,8,1.0,0,51,7,5,1,5,10
27,08freuet.mid,80,4,0,70,0,1.0,8,2.0,0,63,7,5,1,5,10
28,08freuet.mid,80,4,0,72,2,1.0,8,3.0,4,72,0,5,1,7,7
29,08freuet.mid,80,4,0,72,0,1.0,8,4.0,4,72,0,5,1,7,7
30,08freuet.mid,80,4,0,68,-4,1.0,9,1.0,4,65,3,10,1,10,7
31,08freuet.mid,80,4,0,68,0,1.0,9,2.0,4,53,3,10,1,10,7
32,08freuet.mid,80,4,0,73,5,1.0,9,3.0,4,46,3,10,1,3,0
