,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,09ermunt.mid,80,4,0,67,0,1.0,1,4.0,0,55,0,7,0,0,0
1,09ermunt.mid,80,4,0,67,0,1.0,2,1.0,1,52,3,2,0,5,2
2,09ermunt.mid,80,4,0,69,2,1.0,2,2.0,10,50,7,2,0,7,0
3,09ermunt.mid,80,4,0,71,2,0.5,2,3.0,0,55,4,2,0,9,5
4,09ermunt.mid,80,4,0,73,2,0.5,2,3.5,10,57,4,2,0,11,7
5,09ermunt.mid,80,4,0,74,1,1.0,2,4.0,0,74,0,2,0,0,0
6,09ermunt.mid,80,4,0,74,0,1.0,3,1.0,4,74,0,7,0,7,7
7,09ermunt.mid,80,4,0,73,-1,1.0,3,2.0,0,45,4,7,0,6,2
8,09ermunt.mid,80,4,0,74,1,1.0,3,3.0,0,50,0,7,0,7,7
9,09ermunt.mid,80,4,0,71,-3,1.0,3,4.0,4,51,8,7,0,4,8
10,09ermunt.mid,80,4,0,72,1,1.0,4,1.0,0,72,0,7,0,5,5
11,09ermunt.mid,80,4,0,71,-1,1.0,4,2.0,0,55,4,7,0,4,0
12,09ermunt.mid,80,4,0,69,-2,1.0,4,3.0,10,62,7,7,0,2,7
13,09ermunt.mid,80,4,0,71,2,1.0,4,4.0,0,67,4,7,0,4,0
14,09ermunt.mid,80,4,0,69,-2,2.0,5,1.0,4,67,2,7,0,2,0
15,09ermunt.mid,80,4,0,67,-2,1.0,5,3.0,0,55,0,7,0,0,0
16,09ermunt.mid,80,4,0,67,0,1.0,5,4.0,0,55,0,7,0,0,0
17,09ermunt.mid,80,4,0,67,0,1.0,6,1.0,1,52,3,7,0,0,9
18,09ermunt.mid,80,4,0,69,2,1.0,6,2.0,10,50,7,7,0,2,7
19,09ermunt.mid,80,4,0,71,2,0.5,6,3.0,0,55,4,7,0,4,0
20,09ermunt.mid,80,4,0,73,2,0.5,6,3.5,10,57,4,7,0,6,2
21,09ermunt.mid,80,4,0,74,1,1.0,6,4.0,0,74,0,7,0,7,7
22,09ermunt.mid,80,4,0,74,0,1.0,7,1.0,4,74,0,7,0,7,7
23,09ermunt.mid,80,4,0,73,-1,1.0,7,2.0,0,45,4,7,0,6,2
24,09ermunt.mid,80,4,0,74,1,1.0,7,3.0,0,50,0,7,0,7,7
25,09ermunt.mid,80,4,0,71,-3,1.0,7,4.0,4,51,8,7,0,4,8
26,09ermunt.mid,80,4,0,72,1,1.0,8,1.0,0,72,0,7,0,5,5
27,09ermunt.mid,80,4,0,71,-1,1.0,8,2.0,0,55,4,7,0,4,0
28,09ermunt.mid,80,4,0,69,-2,1.0,8,3.0,10,62,7,7,0,2,7
29,09ermunt.mid,80,4,0,71,2,1.0,8,4.0,0,67,4,7,0,4,0
30,09ermunt.mid,80,4,0,69,-2,2.0,9,1.0,4,67,2,7,0,2,0
31,09ermunt.mid,80,4,0,67,-2,1.0,9,3.0,0,55,0,7,0,0,0
32,09ermunt.mid,80,4,0,69,2,1.0,9,4.0,0,50,7,7,0,2,7
33,09ermunt.mid,80,4,0,69,0,1.0,10,1.0,0,62,7,7,0,2,7
34,09ermunt.mid,80,4,0,71,2,1.0,10,2.0,1,59,0,7,0,4,4
