,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,10austie.mid,96,4,0,71,0,2.0,1,1.0,10,64,7,9,1,2,7
1,10austie.mid,96,4,0,64,-7,1.0,1,3.0,1,57,7,9,1,7,0
2,10austie.mid,96,4,0,71,7,1.0,1,4.0,2,68,3,9,1,2,11
3,10austie.mid,96,4,0,72,1,1.0,2,1.0,1,45,3,9,1,3,0
4,10austie.mid,96,4,0,71,-1,0.5,2,2.0,0,67,4,9,1,2,10
5,10austie.mid,96,4,0,69,-2,0.5,2,2.5,11,47,10,9,1,0,2
6,10austie.mid,96,4,0,67,-2,1.0,2,3.0,0,48,7,9,1,10,3
7,10austie.mid,96,4,0,69,2,1.0,2,4.0,2,66,3,9,1,0,9
8,10austie.mid,96,4,0,71,2,2.0,3,1.0,0,52,7,9,1,2,7
9,10austie.mid,96,4,0,71,0,2.0,3,3.0,0,52,7,9,1,2,7
10,10austie.mid,96,4,0,72,1,1.0,4,1.0,1,57,3,9,1,3,0
11,10austie.mid,96,4,0,74,2,1.0,4,2.0,10,55,7,9,1,5,10
12,10austie.mid,96,4,0,72,-2,0.5,4,3.0,0,72,0,9,1,3,3
13,10austie.mid,96,4,0,71,-1,0.5,4,3.5,20,72,11,9,1,2,3
14,10austie.mid,96,4,0,69,-2,1.0,4,4.0,0,53,4,9,1,0,8
15,10austie.mid,96,4,0,67,-2,1.0,5,1.0,0,48,7,9,1,10,3
16,10austie.mid,96,4,0,65,-2,1.0,5,2.0,1,50,3,9,1,8,5
17,10austie.mid,96,4,0,64,-1,2.0,5,3.0,0,52,0,9,1,7,7
18,10austie.mid,96,4,0,71,7,2.0,6,1.0,10,64,7,9,1,2,7
19,10austie.mid,96,4,0,64,-7,1.0,6,3.0,1,57,7,9,1,7,0
20,10austie.mid,96,4,0,71,7,1.0,6,4.0,2,68,3,9,1,2,11
21,10austie.mid,96,4,0,72,1,1.0,7,1.0,1,45,3,9,1,3,0
22,10austie.mid,96,4,0,71,-1,0.5,7,2.0,0,67,4,9,1,2,10
23,10austie.mid,96,4,0,69,-2,0.5,7,2.5,11,47,10,9,1,0,2
24,10austie.mid,96,4,0,67,-2,1.0,7,3.0,0,48,7,9,1,10,3
25,10austie.mid,96,4,0,69,2,1.0,7,4.0,2,66,3,9,1,0,9
26,10austie.mid,96,4,0,71,2,2.0,8,1.0,0,52,7,9,1,2,7
27,10austie.mid,96,4,0,71,0,2.0,8,3.0,0,52,7,9,1,2,7
28,10austie.mid,96,4,0,72,1,1.0,9,1.0,1,57,3,9,1,3,0
29,10austie.mid,96,4,0,74,2,1.0,9,2.0,10,55,7,9,1,5,10
30,10austie.mid,96,4,0,72,-2,0.5,9,3.0,0,72,0,9,1,3,3
31,10austie.mid,96,4,0,71,-1,0.5,9,3.5,20,72,11,9,1,2,3
32,10austie.mid,96,4,0,69,-2,1.0,9,4.0,0,53,4,9,1,0,8
33,10austie.mid,96,4,0,67,-2,1.0,10,1.0,0,48,7,9,1,10,3
34,10austie.mid,96,4,0,65,-2,1.0,10,2.0,1,50,3,9,1,8,5
35,10austie.mid,96,4,0,64,-1,2.0,10,3.0,0,52,0,9,1,7,7
36,10austie.mid,96,4,0,69,5,2.0,11,1.0,1,57,0,9,1,0,0
37,10austie.mid,96,4,0,67,-2,1.0,11,3.0,0,67,0,9,1,10,10
38,10austie.mid,96,4,0,72,5,1.0,11,4.0,1,45,3,9,1,3,0
39,10austie.mid,96,4,0,71,-1,1.0,12,1.0,0,43,4,9,1,2,10
40,10austie.mid,96,4,0,69,-2,1.0,12,2.0,1,62,7,9,1,0,5
41,10austie.mid,96,4,0,74,5,0.5,12,3.0,2,71,3,9,1,5,2
42,10austie.mid,96,4,0,72,-2,0.5,12,3.5,11,50,10,9,1,3,5
43,10austie.mid,96,4,0,71,-1,1.0,12,4.0,0,52,7,9,1,2,7
44,10austie.mid,96,4,0,69,-2,2.0,13,1.0,1,45,0,9,1,0,0
45,10austie.mid,96,4,0,72,3,2.0,13,3.0,1,57,3,9,1,3,0
46,10austie.mid,96,4,0,71,-1,1.0,14,1.0,1,52,7,9,1,2,7
47,10austie.mid,96,4,0,72,1,1.0,14,2.0,0,72,0,9,1,3,3
48,10austie.mid,96,4,0,74,2,1.0,14,3.0,0,67,7,9,1,5,10
49,10austie.mid,96,4,0,67,-7,1.0,14,4.0,0,48,7,9,1,10,3
50,10austie.mid,96,4,0,71,4,1.0,15,1.0,1,71,0,9,1,2,2
51,10austie.mid,96,4,0,69,-2,1.0,15,2.0,1,69,0,9,1,0,0
52,10austie.mid,96,4,0,67,-2,1.5,15,3.0,0,43,0,9,1,10,10
53,10austie.mid,96,4,0,67,0,2.0,16,1.0,0,48,7,9,1,10,3
54,10austie.mid,96,4,0,72,5,1.0,16,3.0,1,45,3,9,1,3,0
55,10austie.mid,96,4,0,71,-1,1.0,16,4.0,0,52,7,9,1,2,7
56,10austie.mid,96,4,0,69,-2,1.0,17,1.0,0,53,4,9,1,0,8
57,10austie.mid,96,4,0,64,-5,1.0,17,2.0,0,48,4,9,1,7,3
58,10austie.mid,96,4,0,67,3,1.0,17,3.0,1,55,0,9,1,10,10
59,10austie.mid,96,4,0,65,-2,1.0,17,4.0,1,62,3,9,1,8,5
60,10austie.mid,96,4,0,64,-1,4.0,18,1.0,10,64,0,9,1,7,7
61,10austie.mid,96,4,1,64,0,2.0,1,1.0,10,64,0,9,1,7,7
62,10austie.mid,96,4,1,64,0,1.0,1,3.0,1,57,7,9,1,7,0
63,10austie.mid,96,4,1,68,4,1.0,1,4.0,2,68,0,9,1,11,11
64,10austie.mid,96,4,1,69,1,1.0,2,1.0,1,45,0,9,1,0,0
65,10austie.mid,96,4,1,67,-2,0.5,2,2.0,0,67,0,9,1,10,10
66,10austie.mid,96,4,1,66,-1,0.5,2,2.5,11,47,7,9,1,9,2
67,10austie.mid,96,4,1,64,-2,1.0,2,3.0,0,48,4,9,1,7,3
68,10austie.mid,96,4,1,66,2,1.0,2,4.0,2,66,0,9,1,9,9
69,10austie.mid,96,4,1,68,2,2.0,3,1.0,0,52,4,9,1,11,7
