,name,tempo,time_signature,track,pitch,mel_int,length,measure,beat_position,chord,root,root_distance,key,mode,key_distance,chord_function
0,14oherre.mid,84,4,0,67,0,1.0,1,4.0,0,55,0,7,0,0,0
1,14oherre.mid,84,4,0,67,0,1.0,2,1.0,1,52,3,7,0,0,9
2,14oherre.mid,84,4,0,66,-1,1.0,2,2.0,1,47,7,7,0,11,4
3,14oherre.mid,84,4,0,64,-2,1.0,2,3.0,0,48,4,7,0,9,5
4,14oherre.mid,84,4,0,62,-2,1.0,2,4.0,0,50,0,7,0,7,7
5,14oherre.mid,84,4,0,67,5,1.0,3,1.0,1,52,3,7,0,0,9
6,14oherre.mid,84,4,0,69,2,1.0,3,2.0,0,50,7,7,0,2,7
7,14oherre.mid,84,4,0,71,2,1.0,3,3.0,0,43,4,7,0,4,0
8,14oherre.mid,84,4,0,69,-2,1.0,3,4.0,0,50,7,7,0,2,7
9,14oherre.mid,84,4,0,71,2,0.5,4,1.0,1,47,0,7,0,4,4
10,14oherre.mid,84,4,0,72,1,0.25,4,1.5,1,47,1,7,0,5,4
11,14oherre.mid,84,4,0,74,2,0.25,4,1.75,1,47,3,7,0,7,4
12,14oherre.mid,84,4,0,72,-2,1.0,4,2.0,0,72,0,7,0,5,5
13,14oherre.mid,84,4,0,71,-1,1.0,4,3.0,0,43,4,7,0,4,0
14,14oherre.mid,84,4,0,69,-2,0.5,4,4.0,0,62,7,7,0,2,7
15,14oherre.mid,84,4,0,71,2,0.5,4,4.5,1,71,0,7,0,4,4
16,14oherre.mid,84,4,0,72,1,1.0,5,1.0,0,60,0,7,0,5,5
17,14oherre.mid,84,4,0,71,-1,1.0,5,2.0,11,64,7,7,0,4,9
18,14oherre.mid,84,4,0,69,-2,2.0,5,3.0,4,67,2,7,0,2,0
19,14oherre.mid,84,4,0,67,-2,3.0,6,1.0,0,43,0,7,0,0,0
20,14oherre.mid,84,4,0,67,0,1.0,6,4.0,0,55,0,7,0,0,0
21,14oherre.mid,84,4,0,67,0,1.0,7,1.0,1,52,3,7,0,0,9
22,14oherre.mid,84,4,0,66,-1,1.0,7,2.0,1,47,7,7,0,11,4
23,14oherre.mid,84,4,0,64,-2,1.0,7,3.0,0,48,4,7,0,9,5
24,14oherre.mid,84,4,0,62,-2,1.0,7,4.0,0,50,0,7,0,7,7
25,14oherre.mid,84,4,0,67,5,1.0,8,1.0,1,52,3,7,0,0,9
26,14oherre.mid,84,4,0,69,2,1.0,8,2.0,0,50,7,7,0,2,7
27,14oherre.mid,84,4,0,71,2,1.0,8,3.0,0,43,4,7,0,4,0
28,14oherre.mid,84,4,0,69,-2,1.0,8,4.0,0,50,7,7,0,2,7
29,14oherre.mid,84,4,0,71,2,0.5,9,1.0,1,47,0,7,0,4,4
30,14oherre.mid,84,4,0,72,1,0.25,9,1.5,1,47,1,7,0,5,4
31,14oherre.mid,84,4,0,74,2,0.25,9,1.75,1,47,3,7,0,7,4
32,14oherre.mid,84,4,0,72,-2,1.0,9,2.0,0,72,0,7,0,5,5
33,14oherre.mid,84,4,0,71,-1,1.0,9,3.0,0,43,4,7,0,4,0
34,14oherre.mid,84,4,0,69,-2,0.5,9,4.0,0,62,7,7,0,2,7
35,14oherre.mid,84,4,0,71,2,0.5,9,4.5,1,71,0,7,0,4,4
36,14oherre.mid,84,4,0,72,1,1.0,10,1.0,0,60,0,7,0,5,5
37,14oherre.mid,84,4,0,71,-1,1.0,10,2.0,11,64,7,7,0,4,9
38,14oherre.mid,84,4,0,69,-2,2.0,10,3.0,4,67,2,7,0,2,0
39,14oherre.mid,84,4,0,67,-2,3.0,11,1.0,0,43,0,7,0,0,0
40,14oherre.mid,84,4,0,67,0,1.0,11,4.0,0,55,0,7,0,0,0
41,14oherre.mid,84,4,0,69,2,1.0,12,1.0,0,50,7,7,0,2,7
42,14oherre.mid,84,4,0,71,2,1.0,12,2.0,0,43,4,7,0,4,0
43,14oherre.mid,84,4,0,67,-4,1.0,12,3.0,0,48,7,7,0,0,5
44,14oherre.mid,84,4,0,67,0,1.0,12,4.0,0,67,0,7,0,0,0
45,14oherre.mid,84,4,0,69,2,1.0,13,1.0,0,57,0,7,0,2,2
46,14oherre.mid,84,4,0,71,2,1.0,13,2.0,4,51,8,7,0,4,8
47,14oherre.mid,84,4,0,67,-4,1.0,13,3.0,1,52,3,7,0,0,9
48,14oherre.mid,84,4,0,64,-3,1.0,13,4.0,1,52,0,7,0,9,9
49,14oherre.mid,84,4,0,69,5,1.5,14,1.0,0,57,0,7,0,2,2
50,14oherre.mid,84,4,0,67,-2,0.5,14,2.5,0,45,10,7,0,0,2
51,14oherre.mid,84,4,0,66,-1,1.0,14,3.0,0,50,4,7,0,11,7
52,14oherre.mid,84,4,0,67,1,0.5,14,4.0,0,55,0,7,0,0,0
53,14oherre.mid,84,4,0,66,-1,0.5,14,4.5,0,62,4,7,0,11,7
54,14oherre.mid,84,4,0,64,-2,2.0,15,1.0,11,64,0,7,0,9,9
55,14oherre.mid,84,4,0,62,-2,1.0,15,3.0,0,50,0,7,0,7,7
56,14oherre.mid,84,4,0,62,0,1.0,15,4.0,1,47,3,7,0,7,4
57,14oherre.mid,84,4,0,67,5,1.0,16,1.0,1,40,3,7,0,0,9
58,14oherre.mid,84,4,0,66,-1,1.0,16,2.0,0,62,4,7,0,11,7
59,14oherre.mid,84,4,0,64,-2,1.0,16,3.0,1,45,7,7,0,9,2
60,14oherre.mid,84,4,0,62,-2,1.0,16,4.0,10,62,0,7,0,7,7
61,14oherre.mid,84,4,0,67,5,1.0,17,1.0,0,55,0,7,0,0,0
62,14oherre.mid,84,4,0,69,2,1.0,17,2.0,0,50,7,7,0,2,7
63,14oherre.mid,84,4,0,71,2,1.0,17,3.0,0,43,4,7,0,4,0
64,14oherre.mid,84,4,0,69,-2,1.0,17,4.0,0,50,7,7,0,2,7
65,14oherre.mid,84,4,0,74,5,1.5,18,1.0,1,47,3,7,0,7,4
66,14oherre.mid,84,4,0,72,-2,0.5,18,2.5,2,54,6,7,0,5,11
67,14oherre.mid,84,4,0,71,-1,1.0,18,3.0,0,55,4,7,0,4,0
68,14oherre.mid,84,4,0,69,-2,0.5,18,4.0,0,62,7,7,0,2,7
69,14oherre.mid,84,4,0,71,2,0.5,18,4.5,1,71,0,7,0,4,4
70,14oherre.mid,84,4,0,72,1,1.0,19,1.0,0,60,0,7,0,5,5
71,14oherre.mid,84,4,0,71,-1,1.0,19,2.0,11,64,7,7,0,4,9
72,14oherre.mid,84,4,0,69,-2,2.0,19,3.0,4,67,2,7,0,2,0
73,14oherre.mid,84,4,0,67,-2,3.0,20,1.0,0,43,0,7,0,0,0
74,14oherre.mid,84,4,1,62,0,1.0,1,4.0,0,55,7,7,0,7,0
75,14oherre.mid,84,4,1,64,2,1.0,2,1.0,1,52,0,7,0,9,9
76,14oherre.mid,84,4,1,62,-2,1.0,2,2.0,1,47,3,7,0,7,4
77,14oherre.mid,84,4,1,60,-2,1.0,2,3.0,0,48,0,7,0,5,5
78,14oherre.mid,84,4,1,60,0,1.0,2,4.0,0,50,10,7,0,5,7
79,14oherre.mid,84,4,1,59,-1,1.0,3,1.0,1,52,7,7,0,4,9
80,14oherre.mid,84,4,1,62,3,1.0,3,2.0,0,50,0,7,0,7,7
81,14oherre.mid,84,4,1,62,0,1.0,3,3.0,0,43,7,7,0,7,0
82,14oherre.mid,84,4,1,62,0,1.0,3,4.0,0,50,0,7,0,7,7
83,14oherre.mid,84,4,1,62,0,1.0,4,1.0,1,47,3,7,0,7,4
84,14oherre.mid,84,4,1,64,2,1.0,4,2.0,0,72,4,7,0,9,5
85,14oherre.mid,84,4,1,62,-2,0.5,4,3.0,0,43,7,7,0,7,0
86,14oherre.mid,84,4,1,64,2,0.5,4,3.5,20,60,4,7,0,9,5
87,14oherre.mid,84,4,1,66,2,1.0,4,4.0,0,62,4,7,0,11,7
88,14oherre.mid,84,4,1,67,1,3.0,5,1.0,0,60,7,7,0,0,5
89,14oherre.mid,84,4,1,66,-1,1.0,5,4.0,10,50,4,7,0,11,7
90,14oherre.mid,84,4,1,62,-4,3.0,6,1.0,0,43,7,7,0,7,0
91,14oherre.mid,84,4,1,62,0,1.0,6,4.0,0,55,7,7,0,7,0
92,14oherre.mid,84,4,1,64,2,1.0,7,1.0,1,52,0,7,0,9,9
93,14oherre.mid,84,4,1,62,-2,1.0,7,2.0,1,47,3,7,0,7,4
94,14oherre.mid,84,4,1,60,-2,1.0,7,3.0,0,48,0,7,0,5,5
95,14oherre.mid,84,4,1,60,0,1.0,7,4.0,0,50,10,7,0,5,7
96,14oherre.mid,84,4,1,59,-1,1.0,8,1.0,1,52,7,7,0,4,9
97,14oherre.mid,84,4,1,62,3,1.0,8,2.0,0,50,0,7,0,7,7
98,14oherre.mid,84,4,1,62,0,1.0,8,3.0,0,43,7,7,0,7,0
99,14oherre.mid,84,4,1,62,0,1.0,8,4.0,0,50,0,7,0,7,7
100,14oherre.mid,84,4,1,62,0,1.0,9,1.0,1,47,3,7,0,7,4
101,14oherre.mid,84,4,1,64,2,1.0,9,2.0,0,72,4,7,0,9,5
102,14oherre.mid,84,4,1,62,-2,0.5,9,3.0,0,43,7,7,0,7,0
103,14oherre.mid,84,4,1,64,2,0.5,9,3.5,20,60,4,7,0,9,5
104,14oherre.mid,84,4,1,66,2,1.0,9,4.0,0,62,4,7,0,11,7
105,14oherre.mid,84,4,1,67,1,3.0,10,1.0,0,60,7,7,0,0,5
106,14oherre.mid,84,4,1,66,-1,1.0,10,4.0,10,50,4,7,0,11,7
107,14oherre.mid,84,4,1,62,-4,3.0,11,1.0,0,43,7,7,0,7,0
108,14oherre.mid,84,4,1,62,0,1.0,11,4.0,0,55,7,7,0,7,0
109,14oherre.mid,84,4,1,62,0,1.0,12,1.0,0,50,0,7,0,7,7
110,14oherre.mid,84,4,1,62,0,1.0,12,2.0,0,43,7,7,0,7,0
111,14oherre.mid,84,4,1,64,2,1.0,12,3.0,0,48,4,7,0,9,5
112,14oherre.mid,84,4,1,62,-2,1.0,12,4.0,0,67,7,7,0,7,0
113,14oherre.mid,84,4,1,64,2,1.0,13,1.0,0,57,7,7,0,9,2
114,14oherre.mid,84,4,1,66,2,1.0,13,2.0,4,51,3,7,0,11,8
115,14oherre.mid,84,4,1,64,-2,1.0,13,3.0,1,52,0,7,0,9,9
116,14oherre.mid,84,4,1,59,-5,1.0,13,4.0,1,52,7,7,0,4,9
117,14oherre.mid,84,4,1,57,-2,0.5,14,1.0,0,57,0,7,0,2,2
118,14oherre.mid,84,4,1,59,2,0.5,14,1.5,4,69,2,7,0,4,2
119,14oherre.mid,84,4,1,61,2,1.0,14,2.0,0,45,4,7,0,6,2
120,14oherre.mid,84,4,1,62,1,1.0,14,3.0,0,50,0,7,0,7,7
121,14oherre.mid,84,4,1,62,0,1.0,14,4.0,0,55,7,7,0,7,0
122,14oherre.mid,84,4,1,62,0,1.0,15,1.0,11,64,10,7,0,7,9
123,14oherre.mid,84,4,1,61,-1,1.0,15,2.0,0,45,4,7,0,6,2
124,14oherre.mid,84,4,1,57,-4,1.0,15,3.0,0,50,7,7,0,2,7
125,14oherre.mid,84,4,1,59,2,1.0,15,4.0,1,47,0,7,0,4,4
126,14oherre.mid,84,4,1,59,0,0.5,16,1.0,1,40,7,7,0,4,9
127,14oherre.mid,84,4,1,61,2,0.5,16,1.5,2,61,0,7,0,6,6
128,14oherre.mid,84,4,1,62,1,1.0,16,2.0,0,62,0,7,0,7,7
129,14oherre.mid,84,4,1,60,-2,0.5,16,3.0,1,45,3,7,0,5,2
130,14oherre.mid,84,4,1,59,-1,0.5,16,3.5,1,64,7,7,0,4,9
131,14oherre.mid,84,4,1,57,-2,1.0,16,4.0,10,62,7,7,0,2,7
132,14oherre.mid,84,4,1,62,5,1.0,17,1.0,0,55,7,7,0,7,0
133,14oherre.mid,84,4,1,62,0,1.0,17,2.0,0,50,0,7,0,7,7
134,14oherre.mid,84,4,1,62,0,1.0,17,3.0,0,43,7,7,0,7,0
135,14oherre.mid,84,4,1,62,0,0.5,17,4.0,0,50,0,7,0,7,7
136,14oherre.mid,84,4,1,64,2,0.5,17,4.5,12,54,10,7,0,9,11
137,14oherre.mid,84,4,1,66,2,1.0,18,1.0,1,47,7,7,0,11,4
138,14oherre.mid,84,4,1,67,1,0.5,18,2.0,11,52,3,7,0,0,9
139,14oherre.mid,84,4,1,69,2,0.5,18,2.5,2,54,3,7,0,2,11
140,14oherre.mid,84,4,1,62,-7,0.5,18,3.0,0,55,7,7,0,7,0
141,14oherre.mid,84,4,1,64,2,0.5,18,3.5,20,60,4,7,0,9,5
142,14oherre.mid,84,4,1,66,2,1.0,18,4.0,0,62,4,7,0,11,7
143,14oherre.mid,84,4,1,67,1,3.0,19,1.0,0,60,7,7,0,0,5
144,14oherre.mid,84,4,1,66,-1,1.0,19,4.0,10,50,4,7,0,11,7
145,14oherre.mid,84,4,1,62,-4,3.0,20,1.0,0,43,7,7,0,7,0
146,14oherre.mid,84,4,2,59,0,1.0,1,4.0,0,55,4,7,0,4,0
147,14oherre.mid,84,4,2,59,0,1.0,2,1.0,1,52,7,7,0,4,9
148,14oherre.mid,84,4,2,59,0,0.5,2,2.0,1,47,0,7,0,4,4
149,14oherre.mid,84,4,2,57,-2,0.5,2,2.5,11,47,10,7,0,2,4
150,14oherre.mid,84,4,2,55,-2,1.0,2,3.0,0,48,7,7,0,0,5
151,14oherre.mid,84,4,2,54,-1,1.0,2,4.0,0,50,4,7,0,11,7
152,14oherre.mid,84,4,2,55,1,1.0,3,1.0,1,52,3,7,0,0,9
153,14oherre.mid,84,4,2,54,-1,1.0,3,2.0,0,50,4,7,0,11,7
154,14oherre.mid,84,4,2,55,1,1.0,3,3.0,0,43,0,7,0,0,0
155,14oherre.mid,84,4,2,54,-1,1.0,3,4.0,0,50,4,7,0,11,7
156,14oherre.mid,84,4,2,54,0,1.0,4,1.0,1,47,7,7,0,11,4
157,14oherre.mid,84,4,2,55,1,0.5,4,2.0,0,72,7,7,0,0,5
158,14oherre.mid,84,4,2,57,2,0.5,4,2.5,12,42,3,7,0,2,11
159,14oherre.mid,84,4,2,59,2,0.5,4,3.0,0,43,4,7,0,4,0
160,14oherre.mid,84,4,2,60,1,0.5,4,3.5,20,60,0,7,0,5,5
161,14oherre.mid,84,4,2,62,2,1.0,4,4.0,0,62,0,7,0,7,7
162,14oherre.mid,84,4,2,60,-2,0.5,5,1.0,0,60,0,7,0,5,5
163,14oherre.mid,84,4,2,62,2,0.5,5,1.5,0,72,2,7,0,7,5
164,14oherre.mid,84,4,2,64,2,1.0,5,2.0,11,64,0,7,0,9,9
165,14oherre.mid,84,4,2,57,-7,0.5,5,3.0,4,67,2,7,0,2,0
166,14oherre.mid,84,4,2,59,2,0.5,5,3.5,0,67,4,7,0,4,0
167,14oherre.mid,84,4,2,60,1,1.0,5,4.0,10,50,10,7,0,5,7
